2026-06-24 12:16:00 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.097s
2026-06-24 12:16:00 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
2026-06-24 12:16:00 | services.operations.split_pdf_adapter | INFO | Completed split_pdf (out_bytes=1595328)
2026-06-24 12:16:00 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.076s
2026-06-24 12:16:00 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:16:01 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=0.592s
2026-06-24 12:16:01 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:16:01 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.035s
2026-06-24 12:16:01 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:16:01 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=FileNotFoundError): missing
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.001s
2026-06-24 12:16:01 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:16:01 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=ValueError): Unsupported file extension: .xyz
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.002s
2026-06-24 12:16:01 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=5,end=1)
2026-06-24 12:16:01 | services.operations.split_pdf_adapter | ERROR | split_pdf failed (mapped=FileValidationError original=ValueError): Invalid page range
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.003s
2026-06-24 12:16:01 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:16:01 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=ConversionError original=PDFSyntaxError): No /Root object! - Is this really a PDF?
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.031s
2026-06-24 12:16:01 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:16:01 | services.operations.compress_pdf_adapter | ERROR | compress_pdf failed (mapped=CompressionError original=FileDataError): Failed to open stream
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=0.337s
2026-06-24 12:16:01 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:16:01 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=OCRProcessingError original=RuntimeError): tesseract: failed to initialize OCR
2026-06-24 12:16:01 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.010s
2026-06-24 12:16:02 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:16:02 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:16:02 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.441s
2026-06-24 12:19:28 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:20:33 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-24 12:20:33 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=64.535s
2026-06-24 12:20:37 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:20:39 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:20:39 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=1.955s
2026-06-24 12:20:39 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-24 12:20:39 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-24 12:20:39 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.510s
2026-06-24 12:20:40 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
2026-06-24 12:20:40 | services.operations.split_pdf_adapter | INFO | Completed split_pdf (out_bytes=1595328)
2026-06-24 12:20:40 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.266s
2026-06-24 12:20:40 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:20:46 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:20:46 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=5.631s
2026-06-24 12:20:46 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:20:46 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-24 12:20:46 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.261s
2026-06-24 12:20:46 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:20:46 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=FileNotFoundError): missing
2026-06-24 12:20:46 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.002s
2026-06-24 12:20:46 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:20:46 | services.operations.pdf_to_word_adapter | ERROR | PDF -> Word conversion failed (mapped=FileValidationError original=ValueError): Unsupported file extension: .xyz
2026-06-24 12:20:46 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=0.001s
2026-06-24 12:20:46 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=5,end=1)
2026-06-24 12:20:46 | services.operations.split_pdf_adapter | ERROR | split_pdf failed (mapped=FileValidationError original=ValueError): Invalid page range
2026-06-24 12:20:46 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.001s
2026-06-24 12:20:47 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:20:48 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=ConversionError original=PDFSyntaxError): No /Root object! - Is this really a PDF?
2026-06-24 12:20:48 | core.telemetry | INFO | operation=operation=extract_text elapsed=1.314s
2026-06-24 12:20:49 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:20:50 | services.operations.compress_pdf_adapter | ERROR | compress_pdf failed (mapped=CompressionError original=FileDataError): Failed to open stream
2026-06-24 12:20:50 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=1.000s
2026-06-24 12:20:50 | services.operations.extract_text_adapter | INFO | Starting extract_text
